cuid,use,cuname,gen_length,sr_code,trtc_cu,FULL_CU_IN,cuindex,culabel,CU,spp,species,watershed,X
308,ABUND,CK008-Middle Fraser-Fraser Canyon_SP_1.3,5,NA,CK-008,CK-8,8,CK008-Middle Fraser-Fraser Canyon_SP_1.3,CK008-Middle Fraser-Fraser Canyon_SP_1.3,CK,CK,NA,NA
303,ABUND,CK003-Lower Fraser River_FA_0.3,4,NA,CK-003,CK-3,3,CK003-Lower Fraser River_FA_0.3,CK003-Lower Fraser River_FA_0.3,CK,CK,NA,NA
307,ABUND,CK007-Maria Slough_SU_0.3,4,NA,CK-007,CK-7,7,CK007-Maria Slough_SU_0.3,CK007-Maria Slough_SU_0.3,CK,CK,NA,NA
304,ABUND,CK004-Lower Fraser River_SP_1.3,5,NA,CK-004,CK-4,4,CK004-Lower Fraser River_SP_1.3,CK004-Lower Fraser River_SP_1.3,CK,CK,NA,NA
306,ABUND,CK006-Lower Fraser River_SU_1.3,5,NA,CK-006,CK-6,6,CK006-Lower Fraser River_SU_1.3,CK006-Lower Fraser River_SU_1.3,CK,CK,NA,NA
305,ABUND,CK005-Lower Fraser River-Upper Pitt_SU_1.3,5,NA,CK-005,CK-5,5,CK005-Lower Fraser River-Upper Pitt_SU_1.3,CK005-Lower Fraser River-Upper Pitt_SU_1.3,CK,CK,NA,NA
317,ABUND,CK017-Lower Thompson_SP_1.2,4,NA,CK-017,CK-17,17,CK017-Lower Thompson_SP_1.2,CK017-Lower Thompson_SP_1.2,CK,CK,NA,NA
309,ABUND,CK009-Middle Fraser River-Portage_FA_1.3,5,NA,CK-009,CK-9,9,CK009-Middle Fraser River-Portage_FA_1.3,CK009-Middle Fraser River-Portage_FA_1.3,CK,CK,NA,NA
310,ABUND,CK010-Middle Fraser River_SP_1.3,5,NA,CK-010,CK-10,10,CK010-Middle Fraser River_SP_1.3,CK010-Middle Fraser River_SP_1.3,CK,CK,NA,NA
311,ABUND,CK011-Middle Fraser River_SU_1.3,5,NA,CK-011,CK-11,11,CK011-Middle Fraser River_SU_1.3,CK011-Middle Fraser River_SU_1.3,CK,CK,NA,NA
318,ABUND,CK018-North Thompson_SP_1.3,5,NA,CK-018,CK-18,18,CK018-North Thompson_SP_1.3,CK018-North Thompson_SP_1.3,CK,CK,NA,NA
319,ABUND,CK019-North Thompson_SU_1.3,5,NA,CK-019,CK-19,19,CK019-North Thompson_SU_1.3,CK019-North Thompson_SU_1.3,CK,CK,NA,NA
315,ABUND,CK015-Shuswap River_SU_0.3,4,NA,CK-015,CK-15,15,CK015-Shuswap River_SU_0.3,CK015-Shuswap River_SU_0.3,CK,CK,NA,NA
316,ABUND,CK016-South Thompson-Bessette Creek_SU_1.2,4,NA,CK-016,CK-16,16,CK016-South Thompson-Bessette Creek_SU_1.2,CK016-South Thompson-Bessette Creek_SU_1.2,CK,CK,NA,NA
313,ABUND,CK013-South Thompson_SU_0.3,4,NA,CK-013,CK-13,13,CK013-South Thompson_SU_0.3,CK013-South Thompson_SU_0.3,CK,CK,NA,NA
314,ABUND,CK014-South Thompson_SU_1.3,5,NA,CK-014,CK-14,14,CK014-South Thompson_SU_1.3,CK014-South Thompson_SU_1.3,CK,CK,NA,NA
333,ABUND,CK082-Upper Adams River_SU_x.x,5,NA,CK-082,CK-82,82,CK082-Upper Adams River_SU_x.x,CK082-Upper Adams River_SU_x.x,CK,CK,NA,NA
312,ABUND,CK012-Upper Fraser River_SP_1.3,5,NA,CK-012,CK-12,12,CK012-Upper Fraser River_SP_1.3,CK012-Upper Fraser River_SP_1.3,CK,CK,NA,NA
701,FALSE,Lower Fraser,4,NA,CM-002,CM-2,2,Lower Fraser,Lower Fraser,CM,CM,NA,NA
705,FALSE,Fraser Canyon,4,NA,CO-005,CO-5,5,Fraser Canyon,Fraser Canyon,CO,CO,NA,NA
749,FALSE,Interior Fraser,4,NA,CO-048,CO-48,48,Interior Fraser,Interior Fraser,CO,CO,NA,NA
704,FALSE,Lillooet,4,NA,CO-004,CO-4,4,Lillooet,Lillooet,CO,CO,NA,NA
750,FALSE,Lower Fraser,4,NA,CO-047,CO-47,47,Lower Fraser,Lower Fraser,CO,CO,NA,NA
707,FALSE,Lower Thompson,4,NA,CO-007,CO-7,7,Lower Thompson,Lower Thompson,CO,CO,NA,NA
709,FALSE,North Thompson,4,NA,CO-009,CO-9,9,North Thompson,North Thompson,CO,CO,NA,NA
708,FALSE,South Thompson,4,NA,CO-008,CO-8,8,South Thompson,South Thompson,CO,CO,NA,NA
710,TRUE,Fraser River,2,1,PKO-001,PKO-1,1,Fraser River,Fraser River,PKO,PKO,NA,NA
751,FALSE,Adams and Momich Lakes_Early Summer,4,NA,SEL-09-912,SEL-09-xx,L-09-xx,Adams and Momich Lakes_Early Summer,Adams and Momich Lakes_Early Summer,SEL,SEL,NA,NA
719,TRUE,Anderson/Seton_Early Summer,4,1,SEL-06-001,SEL-06-01,L-06-01,Anderson/Seton_Early Summer,Anderson/Seton_Early Summer,SEL,SEL,NA,NA
735,TRUE,Bowron_Early Summer,4,2,SEL-07-001,SEL-07-01,L-07-01,Bowron_Early Summer,Bowron_Early Summer,SEL,SEL,NA,NA
720,FALSE,Chilko_Early Summer,4,NA,SEL-06-002,SEL-06-02,L-06-02,Chilko_Early Summer,Chilko_Early Summer,SEL,SEL,NA,NA
721,TRUE,Chilko_Summer,4,3,SEL-06-003,SEL-06-03,L-06-03,Chilko_Summer,Chilko_Summer,SEL,SEL,NA,NA
711,FALSE,Chilliwack_Early Summer,4,NA,SEL-03-001,SEL-03-01,L-03-01,Chilliwack_Early Summer,Chilliwack_Early Summer,SEL,SEL,NA,NA
712,ABUND,Cultus_Late,4,NA,SEL-03-002,SEL-03-02,L-03-02,Cultus_Late,Cultus_Late,SEL,SEL,NA,NA
725,TRUE,Francois/Fraser_Summer,4,4,SEL-06-007,SEL-06-07,L-06-07,Francois/Fraser_Summer,Francois/Fraser_Summer,SEL,SEL,NA,NA
713,ABUND,Harrison-downstream migrating_Late,4,NA,SEL-03-003,SEL-03-03,L-03-03,Harrison-downstream migrating_Late,Harrison-downstream migrating_Late,SEL,SEL,NA,NA
714,TRUE,Harrison-upstream migrating_Late,4,5,SEL-03-004,SEL-03-04,L-03-04,Harrison-upstream migrating_Late,Harrison-upstream migrating_Late,SEL,SEL,NA,NA
740,TRUE,Kamloops_Early Summer,4,7,SEL-10-001,SEL-10-01,L-10-01,Kamloops_Early Summer,Kamloops_Early Summer,SEL,SEL,NA,NA
716,TRUE,Lillooet/Harrison_Late,4,8,SEL-04-001,SEL-04-01,L-04-01,Lillooet/Harrison_Late,Lillooet/Harrison_Late,SEL,SEL,NA,NA
727,TRUE,Nadina/Francois_Early Summer,4,9,SEL-06-020,SEL-06-20,L-06-20,Nadina/Francois_Early Summer,Nadina/Francois_Early Summer,SEL,SEL,NA,NA
718,ABUND,Nahatlatch_Early Summer,4,NA,SEL-05-002,SEL-05-02,L-05-02,Nahatlatch_Early Summer,Nahatlatch_Early Summer,SEL,SEL,NA,NA
752,TRUE,North Barriere_Early Summer,4,10,SEL-10-003,SEL-10-03,L-10-03,North Barriere_Early Summer,North Barriere_Early Summer,SEL,SEL,NA,NA
715,TRUE,Pitt_Early Summer,4,11,SEL-03-005,SEL-03-05,L-03-05,Pitt_Early Summer,Pitt_Early Summer,SEL,SEL,NA,NA
728,ABUND,Quesnel_Summer,4,NA,SEL-06-010,SEL-06-10,L-06-10,Quesnel_Summer,Quesnel_Summer,SEL,SEL,NA,NA
729,TRUE,Seton_Late,4,13,SEL-06-011,SEL-06-11,L-06-11,Seton_Late,Seton_Late,SEL,SEL,NA,NA
738,ABUND,Shuswap_Early Summer,4,NA,SEL-09-002,SEL-09-02,L-09-02,Shuswap_Early Summer,Shuswap_Early Summer,SEL,SEL,NA,NA
739,ABUND,Shuswap_Late,4,NA,SEL-09-003,SEL-09-03,L-09-03,Shuswap_Late,Shuswap_Late,SEL,SEL,NA,NA
732,ABUND,Takla/Trembleur_Early Stuart,4,NA,SEL-06-014,SEL-06-14,L-06-14,Takla/Trembleur_Early Stuart,Takla/Trembleur_Early Stuart,SEL,SEL,NA,NA
731,ABUND,Takla/Trembleur/Stuart_Summer,4,NA,SEL-06-013,SEL-06-13,L-06-13,Takla/Trembleur/Stuart_Summer,Takla/Trembleur/Stuart_Summer,SEL,SEL,NA,NA
734,ABUND,Taseko_Early Summer,4,NA,SEL-06-016,SEL-06-16,L-06-16,Taseko_Early Summer,Taseko_Early Summer,SEL,SEL,NA,NA
745,ABUND,Harrison River,4,6,SER-003,SER-03,R03,Harrison River,Harrison River,SER,SER,NA,NA
742,ABUND,Widgeon,4,NA,SER-002,SER-02,R02,Widgeon,Widgeon,SER,SER,NA,NA
302,FALSE,CK002-Boundary Bay_FA_0.3,5,NA,CK-002,CK-2,2,CK002-Boundary Bay_FA_0.3,CK002-Boundary Bay_FA_0.3,CK,CK,NA,NA
906,FALSE,Boundary Bay,4,NA,CO-001,CO-1,1,Boundary Bay,Boundary Bay,CO,CO,NA,NA
322,ABUND,CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x,3,NA,CK-022,CK-22,22,CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x,CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x,CK,CK,NA,NA
321,ABUND,CK021-East Vancouver Island-Goldstream_FA_0.x,3,NA,CK-021,CK-21,21,CK021-East Vancouver Island-Goldstream_FA_0.x,CK021-East Vancouver Island-Goldstream_FA_0.x,CK,CK,NA,NA
324,ABUND,CK025-East Vancouver Island-Nanaimo and Chemainus_FA_0.x,3,NA,CK-025,CK-25,25,CK025-East Vancouver Island-Nanaimo and Chemainus_FA_0.x,CK025-East Vancouver Island-Nanaimo and Chemainus_FA_0.x,CK,CK,NA,NA
325,ABUND,CK027-East Vancouver Island-Qualicum and Puntledge_FA_0.x,4,NA,CK-027,CK-27,27,CK027-East Vancouver Island-Qualicum and Puntledge_FA_0.x,CK027-East Vancouver Island-Qualicum and Puntledge_FA_0.x,CK,CK,NA,NA
323,FALSE,CK023-East Vancouver Island-Nanaimo_SP_1.x,4,NA,CK-023,CK-23,23,CK023-East Vancouver Island-Nanaimo_SP_1.x,CK023-East Vancouver Island-Nanaimo_SP_1.x,CK,CK,NA,NA
334,ABUND,CK083-East Vancouver Island-Georgia Strait_SU_0.3,4,NA,CK-083,CK-83,83,CK083-East Vancouver Island-Georgia Strait_SU_0.3,CK083-East Vancouver Island-Georgia Strait_SU_0.3,CK,CK,NA,NA
331,FALSE,CK034-Homathko_SU_x.x,5,NA,CK-034,CK-34,34,CK034-Homathko_SU_x.x,CK034-Homathko_SU_x.x,CK,CK,NA,NA
332,FALSE,CK035-Klinaklini_SU_1.3,5,NA,CK-035,CK-35,35,CK035-Klinaklini_SU_1.3,CK035-Klinaklini_SU_1.3,CK,CK,NA,NA
327,ABUND,CK029-East Vancouver Island-North_FA_0.x,4,NA,CK-029,CK-29,29,CK029-East Vancouver Island-North_FA_0.x,CK029-East Vancouver Island-North_FA_0.x,CK,CK,NA,NA
330,ABUND,CK033-West Vancouver Island-North_FA_0.x,4,NA,CK-033,CK-33,33,CK033-West Vancouver Island-North_FA_0.x,CK033-West Vancouver Island-North_FA_0.x,CK,CK,NA,NA
320,FALSE,CK020-Southern Mainland-Georgia Strait_FA_0.x,4,NA,CK-020,CK-20,20,CK020-Southern Mainland-Georgia Strait_FA_0.x,CK020-Southern Mainland-Georgia Strait_FA_0.x,CK,CK,NA,NA
326,ABUND,CK028-Southern Mainland-Southern Fjords_FA_0.x,4,NA,CK-028,CK-28,28,CK028-Southern Mainland-Southern Fjords_FA_0.x,CK028-Southern Mainland-Southern Fjords_FA_0.x,CK,CK,NA,NA
328,ABUND,CK031-West Vancouver Island-South_FA_0.x,4,NA,CK-031,CK-31,31,CK031-West Vancouver Island-South_FA_0.x,CK031-West Vancouver Island-South_FA_0.x,CK,CK,NA,NA
329,ABUND,CK032-West Vancouver Island-Nootka and Kyuquot_FA_0.x,4,NA,CK-032,CK-32,32,CK032-West Vancouver Island-Nootka and Kyuquot_FA_0.x,CK032-West Vancouver Island-Nootka and Kyuquot_FA_0.x,CK,CK,NA,NA
901,FALSE,Bute Inlet,4,NA,CM-007,CM-7,7,Bute Inlet,Bute Inlet,CM,CM,NA,NA
904,ABUND,Georgia Strait,4,NA,CM-004,CM-4,4,Georgia Strait,Georgia Strait,CM,CM,NA,NA
905,ABUND,Howe Sound-Burrand Inlet,4,NA,CM-003,CM-3,3,Howe Sound-Burrand Inlet,Howe Sound-Burrand Inlet,CM,CM,NA,NA
902,ABUND,Loughborough,4,NA,CM-006,CM-6,6,Loughborough,Loughborough,CM,CM,NA,NA
903,ABUND,Northeast Vancouver Island,4,NA,CM-005,CM-5,5,Northeast Vancouver Island,Northeast Vancouver Island,CM,CM,NA,NA
977,TRUE,Northwest Vancouver Island,4,1,CM-011,CM-11,11,Northwest Vancouver Island,Northwest Vancouver Island,CM,CM,NA,NA
900,ABUND,Southern Coastal Streams,4,NA,CM-008,CM-8,8,Southern Coastal Streams,Southern Coastal Streams,CM,CM,NA,NA
978,TRUE,Southwest & West  Vancouver Island,4,2,CM-010,CM-10,10,Southwest & West  Vancouver Island,Southwest & West  Vancouver Island,CM,CM,NA,NA
979,FALSE,Upper Knight,4,NA,CM-009,CM-9,9,Upper Knight,Upper Knight,CM,CM,NA,NA
915,FALSE,Clayoquot,4,NA,CO-018,CO-18,18,Clayoquot,Clayoquot,CO,CO,NA,NA
910,FALSE,East Vancouver Island-Georgia Strait,4,NA,CO-013,CO-13,13,East Vancouver Island-Georgia Strait,East Vancouver Island-Georgia Strait,CO,CO,NA,NA
911,FALSE,East Vancouver Island-Johnstone Strait-Southern Fjords,4,NA,CO-014,CO-14,14,East Vancouver Island-Johnstone Strait-Southern Fjords,East Vancouver Island-Johnstone Strait-Southern Fjords,CO,CO,NA,NA
908,FALSE,Georgia Strait Mainland,4,NA,CO-011,CO-11,11,Georgia Strait Mainland,Georgia Strait Mainland,CO,CO,NA,NA
916,FALSE,Homathko-Klinaklini Rivers,4,NA,CO-019,CO-19,19,Homathko-Klinaklini Rivers,Homathko-Klinaklini Rivers,CO,CO,NA,NA
907,FALSE,Howe Sound-Burrard Inlet,4,NA,CO-010,CO-10,10,Howe Sound-Burrard Inlet,Howe Sound-Burrard Inlet,CO,CO,NA,NA
913,FALSE,Juan de Fuca-Pachena,4,NA,CO-016,CO-16,16,Juan de Fuca-Pachena,Juan de Fuca-Pachena,CO,CO,NA,NA
912,FALSE,Nahwitti Lowland,4,NA,CO-015,CO-15,15,Nahwitti Lowland,Nahwitti Lowland,CO,CO,NA,NA
909,FALSE,Southern Coastal Streams-Queen Charlotte Strait-Johnstone Strait-Southern Fjords,4,NA,CO-012,CO-12,12,Southern Coastal Streams-Queen Charlotte Strait-Johnstone Strait-Southern Fjords,Southern Coastal Streams-Queen Charlotte Strait-Johnstone Strait-Southern Fjords,CO,CO,NA,NA
914,FALSE,West Vancouver Island,4,NA,CO-017,CO-17,17,West Vancouver Island,West Vancouver Island,CO,CO,NA,NA
917,TRUE,Georgia Strait,2,1,PKE-001,PKE-1,1,Georgia Strait,Georgia Strait,PKE,PKE,NA,NA
919,FALSE,Northwest Vancouver Island,2,NA,PKE-003,PKE-3,3,Northwest Vancouver Island,Northwest Vancouver Island,PKE,PKE,NA,NA
920,TRUE,Southern Fjords,2,2,PKE-004,PKE-4,4,Southern Fjords,Southern Fjords,PKE,PKE,NA,NA
918,FALSE,West Vancouver Island,2,NA,PKE-002,PKE-2,2,West Vancouver Island,West Vancouver Island,PKE,PKE,NA,NA
921,TRUE,East Howe Sound-Burrard Inlet,2,3,PKO-002,PKO-2,2,East Howe Sound-Burrard Inlet,East Howe Sound-Burrard Inlet,PKO,PKO,NA,NA
923,TRUE,East Vancouver Island-Johnstone Strait,2,5,PKO-004,PKO-4,4,East Vancouver Island-Johnstone Strait,East Vancouver Island-Johnstone Strait,PKO,PKO,NA,NA
922,TRUE,Georgia Strait,2,4,PKO-003,PKO-3,3,Georgia Strait,Georgia Strait,PKO,PKO,NA,NA
924,TRUE,Nahwitti,2,6,PKO-005,PKO-5,5,Nahwitti,Nahwitti,PKO,PKO,NA,NA
926,TRUE,Southern Fjords,2,7,PKO-007,PKO-7,7,Southern Fjords,Southern Fjords,PKO,PKO,NA,NA
925,FALSE,West Vancouver Island,2,NA,PKO-006,PKO-6,6,West Vancouver Island,West Vancouver Island,PKO,PKO,NA,NA
945,FALSE,Alice,5,NA,SEL-13-001,SEL-13-01,L-13-01,Alice,Alice,SEL,SEL,NA,NA
946,FALSE,Canoe Creek,5,NA,SEL-13-002,SEL-13-02,L-13-02,Canoe Creek,Canoe Creek,SEL,SEL,NA,NA
947,FALSE,Cecilia,5,NA,SEL-13-003,SEL-13-03,L-13-03,Cecilia,Cecilia,SEL,SEL,NA,NA
948,FALSE,Cheewat,5,NA,SEL-13-004,SEL-13-04,L-13-04,Cheewat,Cheewat,SEL,SEL,NA,NA
949,FALSE,Clayoquot,5,NA,SEL-13-005,SEL-13-05,L-13-05,Clayoquot,Clayoquot,SEL,SEL,NA,NA
950,FALSE,Deserted,5,NA,SEL-13-006,SEL-13-06,L-13-06,Deserted,Deserted,SEL,SEL,NA,NA
951,ABUND,Fairy,5,NA,SEL-13-007,SEL-13-07,L-13-07,Fairy,Fairy,SEL,SEL,NA,NA
927,FALSE,Fulmore,5,NA,SEL-11-001,SEL-11-01,L-11-01,Fulmore,Fulmore,SEL,SEL,NA,NA
952,TRUE,Great Central,5,1,SEL-13-008,SEL-13-08,L-13-08,Great Central,Great Central,SEL,SEL,NA,NA
953,ABUND,Henderson,5,NA,SEL-13-009,SEL-13-09,L-13-09,Henderson,Henderson,SEL,SEL,NA,NA
954,FALSE,Hesquiat,5,NA,SEL-13-010,SEL-13-10,L-13-10,Hesquiat,Hesquiat,SEL,SEL,NA,NA
928,FALSE,Heydon,5,NA,SEL-11-002,SEL-11-02,L-11-02,Heydon,Heydon,SEL,SEL,NA,NA
955,ABUND,Hobiton,5,NA,SEL-13-011,SEL-13-11,L-13-11,Hobiton,Hobiton,SEL,SEL,NA,NA
937,ABUND,Ida/Bonanza,5,NA,SEL-12-001,SEL-12-01,L-12-01,Ida/Bonanza,Ida/Bonanza,SEL,SEL,NA,NA
956,FALSE,Jansen,5,NA,SEL-13-012,SEL-13-12,L-13-12,Jansen,Jansen,SEL,SEL,NA,NA
929,FALSE,Kakweiken,5,NA,SEL-11-003,SEL-11-03,L-11-03,Kakweiken,Kakweiken,SEL,SEL,NA,NA
957,FALSE,Kanim,5,NA,SEL-13-013,SEL-13-13,L-13-13,Kanim,Kanim,SEL,SEL,NA,NA
958,ABUND,Kennedy,5,NA,SEL-13-014,SEL-13-14,L-13-14,Kennedy,Kennedy,SEL,SEL,NA,NA
930,FALSE,Loose,5,NA,SEL-11-004,SEL-11-04,L-11-04,Loose,Loose,SEL,SEL,NA,NA
931,ABUND,Mackenzie,5,NA,SEL-11-005,SEL-11-05,L-11-05,Mackenzie,Mackenzie,SEL,SEL,NA,NA
959,FALSE,Maggie,5,NA,SEL-13-015,SEL-13-15,L-13-15,Maggie,Maggie,SEL,SEL,NA,NA
960,FALSE,Megin,5,NA,SEL-13-016,SEL-13-16,L-13-16,Megin,Megin,SEL,SEL,NA,NA
961,ABUND,Muchalat,5,NA,SEL-13-017,SEL-13-17,L-13-17,Muchalat,Muchalat,SEL,SEL,NA,NA
962,FALSE,Muriel,5,NA,SEL-13-018,SEL-13-18,L-13-18,Muriel,Muriel,SEL,SEL,NA,NA
938,FALSE,Nahwitti,5,NA,SEL-12-002,SEL-12-02,L-12-02,Nahwitti,Nahwitti,SEL,SEL,NA,NA
939,TRUE,Nimpkish,5,NA,SEL-12-003,SEL-12-03,L-12-03,Nimpkish,Nimpkish,SEL,SEL,NA,NA
963,ABUND,Nitinat,5,NA,SEL-13-019,SEL-13-19,L-13-19,Nitinat,Nitinat,SEL,SEL,NA,NA
964,FALSE,O'Connell,5,NA,SEL-13-020,SEL-13-20,L-13-20,O'Connell,O'Connell,SEL,SEL,NA,NA
966,ABUND,Park River,5,NA,SEL-13-022,SEL-13-22,L-13-22,Park River,Park River,SEL,SEL,NA,NA
932,ABUND,Phillips,5,NA,SEL-11-006,SEL-11-06,L-11-06,Phillips,Phillips,SEL,SEL,NA,NA
967,ABUND,Power,5,NA,SEL-13-023,SEL-13-23,L-13-23,Power,Power,SEL,SEL,NA,NA
941,FALSE,Quatse,4,NA,SEL-12-005,SEL-12-05,L-12-05,Quatse,Quatse,SEL,SEL,NA,NA
933,ABUND,Sakinaw,5,NA,SEL-11-007,SEL-11-07,L-11-07,Sakinaw,Sakinaw,SEL,SEL,NA,NA
942,FALSE,Schoen,5,NA,SEL-12-006,SEL-12-06,L-12-06,Schoen,Schoen,SEL,SEL,NA,NA
943,FALSE,Shushartie,5,NA,SEL-12-007,SEL-12-07,L-12-07,Shushartie,Shushartie,SEL,SEL,NA,NA
969,TRUE,Sproat,5,2,SEL-13-025,SEL-13-25,L-13-25,Sproat,Sproat,SEL,SEL,NA,NA
935,FALSE,Tzoonie,5,NA,SEL-11-009,SEL-11-09,L-11-09,Tzoonie,Tzoonie,SEL,SEL,NA,NA
976,FALSE,Vernon,5,NA,SEL-12-009,SEL-12-09,L-12-09,Vernon,Vernon,SEL,SEL,NA,NA
936,FALSE,Village Bay,5,NA,SEL-11-010,SEL-11-10,L-11-10,Village Bay,Village Bay,SEL,SEL,NA,NA
970,FALSE,William/Brink,5,NA,SEL-13-026,SEL-13-26,L-13-26,William/Brink,William/Brink,SEL,SEL,NA,NA
944,FALSE,Woss,5,NA,SEL-12-008,SEL-12-08,L-12-08,Woss,Woss,SEL,SEL,NA,NA
973,FALSE,East Vancouver Island and Georgia Strait,5,NA,SER-008,SER-08,R08,East Vancouver Island and Georgia Strait,East Vancouver Island and Georgia Strait,SER,SER,NA,NA
974,FALSE,NW Vancouver Island,5,NA,SER-011,SER-011,R11,NW Vancouver Island,NW Vancouver Island,SER,SER,NA,NA
971,FALSE,Southern Fjords,5,NA,SER-009,SER-009,R09,Southern Fjords,Southern Fjords,SER,SER,NA,NA
972,FALSE,West Vancouver Island,5,NA,SER-010,SER-010,R10,West Vancouver Island,West Vancouver Island,SER,SER,NA,NA
500,TRUE,Smith Inlet,4,1,CM_12,CM-12,12,Smith Inlet,Smith Inlet,Chum,Chum,,
501,TRUE,Rivers Inlet,4,2,CM_13,CM-13,13,Rivers Inlet,Rivers Inlet,Chum,Chum,,
502,FALSE,Wannock,4,NA,CM_14,CM-14,14,Wannock,Wannock,Chum,Chum,,
503,TRUE,Spiller-Fitz-Hugh-Burke,4,3,CM_15,CM-15,15,Spiller-Fitz-Hugh-Burke,Spiller-Fitz-Hugh-Burke,Chum,Chum,,
504,TRUE,Bella Colla-Dean Rivers,4,4,CM_16,CM-16,16,Bella Colla-Dean Rivers,Bella Colla-Dean Rivers,Chum,Chum,,
505,FALSE,Bella Coola River-Late,4,NA,CM_17,CM-17,17,Bella Coola River-Late,Bella Coola River-Late,Chum,Chum,,
506,TRUE,Hecate Lowlands,4,5,CM_18,CM-18,18,Hecate Lowlands,Hecate Lowlands,Chum,Chum,,
507,TRUE,Mussel-Kynock,4,6,CM_19,CM-19,19,Mussel-Kynock,Mussel-Kynock,Chum,Chum,,
508,TRUE,Douglas-Gardner,4,7,CM_20,CM-20,20,Douglas-Gardner,Douglas-Gardner,Chum,Chum,,
509,FALSE,Docee,4,10,CN_36,CK-36,36,Docee,Docee,Chinook,Chinook,,
510,TRUE,Rivers Inlet,5,1,CN_37,CK-37,37,Rivers Inlet,Rivers Inlet,Chinook,Chinook,,
511,TRUE,Wannock,5,2,CN_38,CK-38,38,Wannock,Wannock,Chinook,Chinook,,
512,TRUE,Bella Coola-Bentinck,5,3,CN_39,CK-39,39,Bella Coola-Bentinck,Bella Coola-Bentinck,Chinook,Chinook,,
513,TRUE,Dean River,5,4,CN_40,CK-40,40,Dean River,Dean River,Chinook,Chinook,,
514,TRUE,NCC-late timing,5,5,CN_41,CK-41,41,NCC-late timing,NCC-late timing,Chinook,Chinook,,
515,TRUE,NCC-early timing,5,6,CN_42,CK-42,42,NCC-early timing,NCC-early timing,Chinook,Chinook,,
516,TRUE,Smith Inlet,4,1,CO_20,CO-20,20,Smith Inlet,Smith Inlet,Coho,Coho,,
517,FALSE,Rivers Inlet,4,2,CO_21,CO-21,21,Rivers Inlet,Rivers Inlet,Coho,Coho,,
518,TRUE,Bella Coola-Dean Rivers,4,3,CO_22,CO-22,22,Bella Coola-Dean Rivers,Bella Coola-Dean Rivers,Coho,Coho,,
519,TRUE,Mussel-Kynoch,4,4,CO_26,CO-26,26,Mussel-Kynoch,Mussel-Kynoch,Coho,Coho,,
520,TRUE,Hecate Strait Mainland,4,5,CO_27,CO-27,27,Hecate Strait Mainland,Hecate Strait Mainland,Coho,Coho,,
521,TRUE,Brim-Wahoo,4,6,CO_28,CO-28,28,Brim-Wahoo,Brim-Wahoo,Coho,Coho,,
522,TRUE,Douglas Channel-Kitimat Arm,4,7,CO_29,CO-29,29,Douglas Channel-Kitimat Arm,Douglas Channel-Kitimat Arm,Coho,Coho,,
523,TRUE,N Coastal Streams,4,8,CO_30,CO-30,30,N Coastal Streams,N Coastal Streams,Coho,Coho,,
524,TRUE,Long,5,1,SX_L-15-01,SEL-15-01,L-15-01,Long,Long,Sockeye-Lake,Lake Sockeye,,
