"","year","species","odd_even","total.systems","no.counted","prop.counted"
"1",1955,"Pink","O",0,0,NA
"2",1956,"Pink","E",0,0,NA
"3",1957,"Pink","O",0,0,NA
"4",1958,"Pink","E",0,0,NA
"5",1959,"Pink","O",0,0,NA
"6",1960,"Pink","E",0,0,NA
"7",1961,"Pink","O",0,0,NA
"8",1962,"Pink","E",0,0,NA
"9",1963,"Pink","O",0,0,NA
"10",1964,"Pink","E",0,0,NA
"11",1965,"Pink","O",0,0,NA
"12",1966,"Pink","E",0,0,NA
"13",1967,"Pink","O",0,0,NA
"14",1968,"Pink","E",0,0,NA
"15",1969,"Pink","O",0,0,NA
"16",1970,"Pink","E",0,0,NA
"17",1971,"Pink","O",0,0,NA
"18",1972,"Pink","E",0,0,NA
"19",1973,"Pink","O",0,0,NA
"20",1974,"Pink","E",0,0,NA
"21",1975,"Pink","O",0,0,NA
"22",1976,"Pink","E",0,0,NA
"23",1977,"Pink","O",0,0,NA
"24",1978,"Pink","E",0,0,NA
"25",1979,"Pink","O",0,0,NA
"26",1980,"Pink","E",0,0,NA
"27",1981,"Pink","O",0,0,NA
"28",1982,"Pink","E",0,0,NA
"29",1983,"Pink","O",0,0,NA
"30",1984,"Pink","E",0,0,NA
"31",1985,"Pink","O",0,0,NA
"32",1986,"Pink","E",0,0,NA
"33",1987,"Pink","O",0,0,NA
"34",1988,"Pink","E",0,0,NA
"35",1989,"Pink","O",0,0,NA
"36",1990,"Pink","E",0,0,NA
"37",1991,"Pink","O",0,0,NA
"38",1992,"Pink","E",0,0,NA
"39",1993,"Pink","O",0,0,NA
"40",1994,"Pink","E",0,0,NA
"41",1995,"Pink","O",0,0,NA
"42",1996,"Pink","E",0,0,NA
"43",1997,"Pink","O",0,0,NA
"44",1998,"Pink","E",0,0,NA
"45",1999,"Pink","O",0,0,NA
"46",2000,"Pink","E",0,0,NA
"47",2001,"Pink","O",0,0,NA
"48",2002,"Pink","E",0,0,NA
"49",2003,"Pink","O",0,0,NA
"50",2004,"Pink","E",0,0,NA
"51",2005,"Pink","O",0,0,NA
"52",2006,"Pink","E",0,0,NA
"53",2007,"Pink","O",0,0,NA
"54",2008,"Pink","E",0,0,NA
"55",2009,"Pink","O",0,0,NA
"56",2010,"Pink","E",0,0,NA
"57",2011,"Pink","O",0,0,NA
"58",2012,"Pink","E",0,0,NA
"59",2013,"Pink","O",0,0,NA
"60",2014,"Pink","E",0,0,NA
"61",2015,"Pink","O",0,0,NA
"62",2016,"Pink","E",0,0,NA
"63",2017,"Pink","O",0,0,NA
"64",2018,"Pink","E",0,0,NA
"65",2019,"Pink","O",0,0,NA
"66",1955,"Chum",NA,0,0,NA
"67",1956,"Chum",NA,0,0,NA
"68",1957,"Chum",NA,0,0,NA
"69",1958,"Chum",NA,0,0,NA
"70",1959,"Chum",NA,0,0,NA
"71",1960,"Chum",NA,0,0,NA
"72",1961,"Chum",NA,0,0,NA
"73",1962,"Chum",NA,0,0,NA
"74",1963,"Chum",NA,0,0,NA
"75",1964,"Chum",NA,0,0,NA
"76",1965,"Chum",NA,0,0,NA
"77",1966,"Chum",NA,0,0,NA
"78",1967,"Chum",NA,0,0,NA
"79",1968,"Chum",NA,0,0,NA
"80",1969,"Chum",NA,0,0,NA
"81",1970,"Chum",NA,0,0,NA
"82",1971,"Chum",NA,0,0,NA
"83",1972,"Chum",NA,0,0,NA
"84",1973,"Chum",NA,0,0,NA
"85",1974,"Chum",NA,0,0,NA
"86",1975,"Chum",NA,0,0,NA
"87",1976,"Chum",NA,0,0,NA
"88",1977,"Chum",NA,0,0,NA
"89",1978,"Chum",NA,0,0,NA
"90",1979,"Chum",NA,0,0,NA
"91",1980,"Chum",NA,0,0,NA
"92",1981,"Chum",NA,0,0,NA
"93",1982,"Chum",NA,0,0,NA
"94",1983,"Chum",NA,0,0,NA
"95",1984,"Chum",NA,0,0,NA
"96",1985,"Chum",NA,0,0,NA
"97",1986,"Chum",NA,0,0,NA
"98",1987,"Chum",NA,0,0,NA
"99",1988,"Chum",NA,0,0,NA
"100",1989,"Chum",NA,0,0,NA
"101",1990,"Chum",NA,0,0,NA
"102",1991,"Chum",NA,0,0,NA
"103",1992,"Chum",NA,0,0,NA
"104",1993,"Chum",NA,0,0,NA
"105",1994,"Chum",NA,0,0,NA
"106",1995,"Chum",NA,0,0,NA
"107",1996,"Chum",NA,0,0,NA
"108",1997,"Chum",NA,0,0,NA
"109",1998,"Chum",NA,0,0,NA
"110",1999,"Chum",NA,0,0,NA
"111",2000,"Chum",NA,0,0,NA
"112",2001,"Chum",NA,0,0,NA
"113",2002,"Chum",NA,0,0,NA
"114",2003,"Chum",NA,0,0,NA
"115",2004,"Chum",NA,0,0,NA
"116",2005,"Chum",NA,0,0,NA
"117",2006,"Chum",NA,0,0,NA
"118",2007,"Chum",NA,0,0,NA
"119",2008,"Chum",NA,0,0,NA
"120",2009,"Chum",NA,0,0,NA
"121",2010,"Chum",NA,0,0,NA
"122",2011,"Chum",NA,0,0,NA
"123",2012,"Chum",NA,0,0,NA
"124",2013,"Chum",NA,0,0,NA
"125",2014,"Chum",NA,0,0,NA
"126",2015,"Chum",NA,0,0,NA
"127",2016,"Chum",NA,0,0,NA
"128",2017,"Chum",NA,0,0,NA
"129",2018,"Chum",NA,0,0,NA
"130",2019,"Chum",NA,0,0,NA
"131",1955,"Coho",NA,0,0,NA
"132",1956,"Coho",NA,0,0,NA
"133",1957,"Coho",NA,0,0,NA
"134",1958,"Coho",NA,0,0,NA
"135",1959,"Coho",NA,0,0,NA
"136",1960,"Coho",NA,0,0,NA
"137",1961,"Coho",NA,0,0,NA
"138",1962,"Coho",NA,0,0,NA
"139",1963,"Coho",NA,0,0,NA
"140",1964,"Coho",NA,0,0,NA
"141",1965,"Coho",NA,0,0,NA
"142",1966,"Coho",NA,0,0,NA
"143",1967,"Coho",NA,0,0,NA
"144",1968,"Coho",NA,0,0,NA
"145",1969,"Coho",NA,0,0,NA
"146",1970,"Coho",NA,0,0,NA
"147",1971,"Coho",NA,0,0,NA
"148",1972,"Coho",NA,0,0,NA
"149",1973,"Coho",NA,0,0,NA
"150",1974,"Coho",NA,0,0,NA
"151",1975,"Coho",NA,0,0,NA
"152",1976,"Coho",NA,0,0,NA
"153",1977,"Coho",NA,0,0,NA
"154",1978,"Coho",NA,0,0,NA
"155",1979,"Coho",NA,0,0,NA
"156",1980,"Coho",NA,0,0,NA
"157",1981,"Coho",NA,0,0,NA
"158",1982,"Coho",NA,0,0,NA
"159",1983,"Coho",NA,0,0,NA
"160",1984,"Coho",NA,0,0,NA
"161",1985,"Coho",NA,0,0,NA
"162",1986,"Coho",NA,0,0,NA
"163",1987,"Coho",NA,0,0,NA
"164",1988,"Coho",NA,0,0,NA
"165",1989,"Coho",NA,0,0,NA
"166",1990,"Coho",NA,0,0,NA
"167",1991,"Coho",NA,0,0,NA
"168",1992,"Coho",NA,0,0,NA
"169",1993,"Coho",NA,0,0,NA
"170",1994,"Coho",NA,0,0,NA
"171",1995,"Coho",NA,0,0,NA
"172",1996,"Coho",NA,0,0,NA
"173",1997,"Coho",NA,0,0,NA
"174",1998,"Coho",NA,0,0,NA
"175",1999,"Coho",NA,0,0,NA
"176",2000,"Coho",NA,0,0,NA
"177",2001,"Coho",NA,0,0,NA
"178",2002,"Coho",NA,0,0,NA
"179",2003,"Coho",NA,0,0,NA
"180",2004,"Coho",NA,0,0,NA
"181",2005,"Coho",NA,0,0,NA
"182",2006,"Coho",NA,0,0,NA
"183",2007,"Coho",NA,0,0,NA
"184",2008,"Coho",NA,0,0,NA
"185",2009,"Coho",NA,0,0,NA
"186",2010,"Coho",NA,0,0,NA
"187",2011,"Coho",NA,0,0,NA
"188",2012,"Coho",NA,0,0,NA
"189",2013,"Coho",NA,0,0,NA
"190",2014,"Coho",NA,0,0,NA
"191",2015,"Coho",NA,0,0,NA
"192",2016,"Coho",NA,0,0,NA
"193",2017,"Coho",NA,0,0,NA
"194",2018,"Coho",NA,0,0,NA
"195",2019,"Coho",NA,0,0,NA
"196",1955,"Chinook",NA,1,0,0
"197",1956,"Chinook",NA,1,0,0
"198",1957,"Chinook",NA,1,0,0
"199",1958,"Chinook",NA,1,0,0
"200",1959,"Chinook",NA,1,0,0
"201",1960,"Chinook",NA,1,0,0
"202",1961,"Chinook",NA,1,0,0
"203",1962,"Chinook",NA,1,0,0
"204",1963,"Chinook",NA,1,0,0
"205",1964,"Chinook",NA,1,0,0
"206",1965,"Chinook",NA,1,0,0
"207",1966,"Chinook",NA,1,0,0
"208",1967,"Chinook",NA,1,0,0
"209",1968,"Chinook",NA,1,0,0
"210",1969,"Chinook",NA,1,0,0
"211",1970,"Chinook",NA,1,0,0
"212",1971,"Chinook",NA,1,0,0
"213",1972,"Chinook",NA,1,0,0
"214",1973,"Chinook",NA,1,0,0
"215",1974,"Chinook",NA,1,0,0
"216",1975,"Chinook",NA,1,0,0
"217",1976,"Chinook",NA,1,0,0
"218",1977,"Chinook",NA,1,0,0
"219",1978,"Chinook",NA,1,0,0
"220",1979,"Chinook",NA,1,0,0
"221",1980,"Chinook",NA,1,0,0
"222",1981,"Chinook",NA,1,0,0
"223",1982,"Chinook",NA,1,0,0
"224",1983,"Chinook",NA,1,0,0
"225",1984,"Chinook",NA,1,0,0
"226",1985,"Chinook",NA,1,0,0
"227",1986,"Chinook",NA,1,0,0
"228",1987,"Chinook",NA,1,0,0
"229",1988,"Chinook",NA,1,0,0
"230",1989,"Chinook",NA,1,0,0
"231",1990,"Chinook",NA,1,0,0
"232",1991,"Chinook",NA,1,0,0
"233",1992,"Chinook",NA,1,0,0
"234",1993,"Chinook",NA,1,0,0
"235",1994,"Chinook",NA,1,0,0
"236",1995,"Chinook",NA,1,0,0
"237",1996,"Chinook",NA,1,0,0
"238",1997,"Chinook",NA,1,1,1
"239",1998,"Chinook",NA,1,1,1
"240",1999,"Chinook",NA,1,0,0
"241",2000,"Chinook",NA,1,0,0
"242",2001,"Chinook",NA,1,0,0
"243",2002,"Chinook",NA,1,0,0
"244",2003,"Chinook",NA,1,0,0
"245",2004,"Chinook",NA,1,0,0
"246",2005,"Chinook",NA,1,0,0
"247",2006,"Chinook",NA,1,0,0
"248",2007,"Chinook",NA,1,0,0
"249",2008,"Chinook",NA,1,0,0
"250",2009,"Chinook",NA,1,0,0
"251",2010,"Chinook",NA,1,0,0
"252",2011,"Chinook",NA,1,0,0
"253",2012,"Chinook",NA,1,0,0
"254",2013,"Chinook",NA,1,0,0
"255",2014,"Chinook",NA,1,0,0
"256",2015,"Chinook",NA,1,0,0
"257",2016,"Chinook",NA,1,0,0
"258",2017,"Chinook",NA,1,0,0
"259",2018,"Chinook",NA,1,0,0
"260",2019,"Chinook",NA,1,0,0
"261",1955,"Sockeye",NA,1,0,0
"262",1956,"Sockeye",NA,1,0,0
"263",1957,"Sockeye",NA,1,0,0
"264",1958,"Sockeye",NA,1,0,0
"265",1959,"Sockeye",NA,1,0,0
"266",1960,"Sockeye",NA,1,0,0
"267",1961,"Sockeye",NA,1,0,0
"268",1962,"Sockeye",NA,1,0,0
"269",1963,"Sockeye",NA,1,0,0
"270",1964,"Sockeye",NA,1,0,0
"271",1965,"Sockeye",NA,1,0,0
"272",1966,"Sockeye",NA,1,0,0
"273",1967,"Sockeye",NA,1,0,0
"274",1968,"Sockeye",NA,1,0,0
"275",1969,"Sockeye",NA,1,0,0
"276",1970,"Sockeye",NA,1,0,0
"277",1971,"Sockeye",NA,1,0,0
"278",1972,"Sockeye",NA,1,0,0
"279",1973,"Sockeye",NA,1,0,0
"280",1974,"Sockeye",NA,1,0,0
"281",1975,"Sockeye",NA,1,0,0
"282",1976,"Sockeye",NA,1,0,0
"283",1977,"Sockeye",NA,1,0,0
"284",1978,"Sockeye",NA,1,0,0
"285",1979,"Sockeye",NA,1,0,0
"286",1980,"Sockeye",NA,1,0,0
"287",1981,"Sockeye",NA,1,0,0
"288",1982,"Sockeye",NA,1,0,0
"289",1983,"Sockeye",NA,1,0,0
"290",1984,"Sockeye",NA,1,0,0
"291",1985,"Sockeye",NA,1,0,0
"292",1986,"Sockeye",NA,1,0,0
"293",1987,"Sockeye",NA,1,0,0
"294",1988,"Sockeye",NA,1,0,0
"295",1989,"Sockeye",NA,1,0,0
"296",1990,"Sockeye",NA,1,0,0
"297",1991,"Sockeye",NA,1,0,0
"298",1992,"Sockeye",NA,1,0,0
"299",1993,"Sockeye",NA,1,0,0
"300",1994,"Sockeye",NA,1,0,0
"301",1995,"Sockeye",NA,1,0,0
"302",1996,"Sockeye",NA,1,0,0
"303",1997,"Sockeye",NA,1,1,1
"304",1998,"Sockeye",NA,1,1,1
"305",1999,"Sockeye",NA,1,1,1
"306",2000,"Sockeye",NA,1,0,0
"307",2001,"Sockeye",NA,1,0,0
"308",2002,"Sockeye",NA,1,0,0
"309",2003,"Sockeye",NA,1,0,0
"310",2004,"Sockeye",NA,1,0,0
"311",2005,"Sockeye",NA,1,0,0
"312",2006,"Sockeye",NA,1,0,0
"313",2007,"Sockeye",NA,1,0,0
"314",2008,"Sockeye",NA,1,0,0
"315",2009,"Sockeye",NA,1,0,0
"316",2010,"Sockeye",NA,1,0,0
"317",2011,"Sockeye",NA,1,0,0
"318",2012,"Sockeye",NA,1,0,0
"319",2013,"Sockeye",NA,1,0,0
"320",2014,"Sockeye",NA,1,0,0
"321",2015,"Sockeye",NA,1,0,0
"322",2016,"Sockeye",NA,1,0,0
"323",2017,"Sockeye",NA,1,0,0
"324",2018,"Sockeye",NA,1,0,0
"325",2019,"Sockeye",NA,1,0,0
"326",1955,"all",NA,1,0,0
"327",1956,"all",NA,1,0,0
"328",1957,"all",NA,1,0,0
"329",1958,"all",NA,1,0,0
"330",1959,"all",NA,1,0,0
"331",1960,"all",NA,1,0,0
"332",1961,"all",NA,1,0,0
"333",1962,"all",NA,1,0,0
"334",1963,"all",NA,1,0,0
"335",1964,"all",NA,1,0,0
"336",1965,"all",NA,1,0,0
"337",1966,"all",NA,1,0,0
"338",1967,"all",NA,1,0,0
"339",1968,"all",NA,1,0,0
"340",1969,"all",NA,1,0,0
"341",1970,"all",NA,1,0,0
"342",1971,"all",NA,1,0,0
"343",1972,"all",NA,1,0,0
"344",1973,"all",NA,1,0,0
"345",1974,"all",NA,1,0,0
"346",1975,"all",NA,1,0,0
"347",1976,"all",NA,1,0,0
"348",1977,"all",NA,1,0,0
"349",1978,"all",NA,1,0,0
"350",1979,"all",NA,1,0,0
"351",1980,"all",NA,1,0,0
"352",1981,"all",NA,1,0,0
"353",1982,"all",NA,1,0,0
"354",1983,"all",NA,1,0,0
"355",1984,"all",NA,1,0,0
"356",1985,"all",NA,1,0,0
"357",1986,"all",NA,1,0,0
"358",1987,"all",NA,1,0,0
"359",1988,"all",NA,1,0,0
"360",1989,"all",NA,1,0,0
"361",1990,"all",NA,1,0,0
"362",1991,"all",NA,1,0,0
"363",1992,"all",NA,1,0,0
"364",1993,"all",NA,1,0,0
"365",1994,"all",NA,1,0,0
"366",1995,"all",NA,1,0,0
"367",1996,"all",NA,1,0,0
"368",1997,"all",NA,1,1,1
"369",1998,"all",NA,1,1,1
"370",1999,"all",NA,1,1,1
"371",2000,"all",NA,1,0,0
"372",2001,"all",NA,1,0,0
"373",2002,"all",NA,1,0,0
"374",2003,"all",NA,1,0,0
"375",2004,"all",NA,1,0,0
"376",2005,"all",NA,1,0,0
"377",2006,"all",NA,1,0,0
"378",2007,"all",NA,1,0,0
"379",2008,"all",NA,1,0,0
"380",2009,"all",NA,1,0,0
"381",2010,"all",NA,1,0,0
"382",2011,"all",NA,1,0,0
"383",2012,"all",NA,1,0,0
"384",2013,"all",NA,1,0,0
"385",2014,"all",NA,1,0,0
"386",2015,"all",NA,1,0,0
"387",2016,"all",NA,1,0,0
"388",2017,"all",NA,1,0,0
"389",2018,"all",NA,1,0,0
"390",2019,"all",NA,1,0,0
